course_parent,course_name,question_desc,option_a,option_b,option_c,option_d,correct_option,difficulty_level,chapter_name,subject_name
ca_cpt,CA CPT ECONOMICS,Inductive method suffers from which one of the following limitations?,Risk of hurried conclusions from insufficient fact,Assumptions generally turn out to be untrue,Valid conclusions cannot be drawn in the absence of proper knowledge,Danger of claiming universal validity for the economic generalization,1,3,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economic laws or theories are true only under conditions of_______,Ceteris paribus,Other thing remaining altered,Measurability,None of the above,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economic laws are inexact because the subject matter of economics is based on_______ be haviour.,Collective,National,Human,Global,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who compared economic laws with law of tides?,Adam Smith,Alfred Marshall,A.C Pigou,Samuelson,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Equilibrium relates to which of these,Market conditions which oscillate,Market state of falling prices,Market condition of rising prices,Market conditions which once achieved tends to persist,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,General equilibrium analysis refers to,Behaviour of individual economic decision making units and individual markets in isolation,Behaviour of all the individual decision making units and market viewed in totality,Both,None,2,3,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Market equilibrium of a commodity is determined by,Balancing of demand and supply position,Aggregate demand,Aggregate supply,Government intervention,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is/are a non-economic resource?,land,capital,labour,All the three,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these resources would be called as land in economics?,Coal mines of Bihar,Water resources of Uitaranchal,Mineral deposits of Jharkhand,All the three,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Capital in economics means,Factor of production,Fund brought in by the entrepreneur,"Investment in shares, bank deposits",All the above,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these statements was used to condemn economics as a Science of wealth?,Gospel of Mammon,Crude theory,"""Theory of greed and exploitation""",None,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who described economics in terms of material welfare,Cannon,Robbins,Stignler,Wieksteed,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who defined positive science as ""body of systematic knowledge concerning with what it ought to be""",Keynes,Adam Smith,John Ruskin,Malthus,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who defined normative science as ""body of systematic knowledge relating to criteria ought to be ...'",Marshall,JR Hicks,Keynes,Adam Smith,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who defined economics as ""science which deals with wealth""",J.B. Say,A.C Pigou,Alfred Marshall,Robbins,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who remarked ""Economics is concerned with what economists do""",Jacob Viner,AC Pigou,Robbins,Samuelson,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who alleged that economic should not be normative in character,Jacob Viner,AC Pigou,Robbins,Samuelson,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics cannot be considered a perfect science because,Human behaviour is unpredictable,It is difficult to make correct prediction of economic variables,Economist do not have common opinion about a particular economic event,All the three,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these is/are a positive statement(s),Export of onion ought to be banned to check rising prices of onion in domestic market,Forwarding trading in commodities ought to be banned to curb rising prices,Export of onion has created shortage of domestic supply of onions,All the three,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these is a normative statement,Forwarding trading in commodity market has led to inflationary conditions in food grains,Forwarding trading in commodities ought to be banned to curb rising prices,Export of onion' has created shortage of domestic supply of onions,None,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"In economics, goods includes material things which.............",Can be transferred,Can be exchanged for one another,Both,None,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,In economics wealth is the stock of all those material and immaterial objects which.............,Are transferable,Have utility,Are scarce,All the three,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Wealth is a --------concept in economic,Flow,Stock,Both,None,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"In economics, Income is a--------concept",Flow,Stock,Both,None,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is not a protagonist of economics as a wealth,Adam Smith,JB Say,FA Walker,Alfred Marshal,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following was/were the critics of wealth concept of economics,Charles Dickens,William Morris,John Rr.rskin,All the three,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following are the main protagonists of economics as a study of welfare,Alfred Marshall,Stonier Hague,Samulson,Robinson,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who defined economics as ""a study of economic welfare which is that parl of social welfare that can be brought directly or indirectly into relation with the measuring rod of money""",A C Pigou,JN Keynes,A. Linkon,Samulson,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,__________ is the main critic of welfare definition of economics,Lion Robbins,JF Kendy,Samulson,Alfred Marshall,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who proposed scarcity definition of economics,Lionel Robbins,Pickles,Piques,None,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,_______propounded growth concept of economics,JF Kendy,JN Kenynes,Stonier,A Samulson,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"In addition to three Central problem of economy, the additional problem(s) raised by the Modern economists is/are",Are the resources fully utilized or not,How efficient is the production and distribution system,Whether the capacity to produce or grow is increasing or is static,All the three,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Inductive Method is also know as.............,Historical,Realistic,Analytical,All the three,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The basic assumption of an economic analysis is/are,Cetris paribus,Rational behaviour,Both,None,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The terms Micro economic and Macro economics were coined by,Professor A Samulson,Giffen,Prof. Ragner Frisch,Eagle,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,__________ is known as father of economics,Adam Smith,Fedrick Taylor,Alfred Marshall,J R Hicks,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"___________defined economics as ""An enquiry into the nature and causes of wealth of nation",Recardo,Alfred Marshall,Keynes,Adam Smith,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The definition of economics as a science of wealth is criticized on the ground that.............,It ignored immaterial wealth,It ignored human welfare,Both,None,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,_______emphases social welfare which can be measured by the measuring rod of money,Pigou,Cannon,Robbin,Keynes,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these are outside the domain of micro economics,Consumer behaviour,Factor pricing,Economic growth,Study of firm,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these are outside the domain of macro economics,Consumer behaviour,National income,Economic growth,Balance of payment and trade,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,_______said when six economists gather there are seven opinions,Barbara wotten,Hicks,Samulson,Keynes,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,______has made economics neutral between ends,Stonier,Wicksteed,Scitovsky,Robbins,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who said economics is not merely a social science but a human science,Adam smith,Robbins,Piguo,Eagle,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is a normative statement,To check inflation RBI should restrict money supply,Govt. spend Rs. 5000 corer annually of public health,Increase in crude prices will hit the industry hard,All the three,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is a positive statement,To check inflation RBI should restrict money supply,Govt. spend Rs. 5000 crores annually of public health,To reduce burden on Oil pool account Govt. should reduce subsidy on Petroleum products,All the three,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Scarcity of resources means,Limited resources,Non-existence of resources,Both,None,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Human wants are,Unsatisfiable,Unlimited,Undefined,Limited,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The concept of consumer surplus was coined by,Alfred Marshall,Pigue,Adam smith,Stonier,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics cannot be given the status of science because,Of non-uniformity of opinion and approach of economist,Economic behaviour of human being is unpredictable,Measuring rod of money is unstable,All the three,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who said that economics is the oldest of the Arts and newest of the science,Samuelson,Haque,Marshall,Robbins,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who said Law of economics are compared with the law of tides rather than the simple exact law of gravitation,Alfred Marshall,David Recardo,Keynes,Hicks,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is not a central problem of a society,What to produce,How to produce,For whom to produce,Where to live,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The paradox of Diamond is more costly than water is explained by,Marginal utility concept,Scarcity,Relative cost of production,All the three,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these is an economic activity,A father teaching his son at home instead of sending to any coaching centre,A hair dresser doing hair cut designing on payment,A housewife mending her family cloths on her own,A singer giving a show on his son's wedding anniversary,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"The term ""Micro"" is derived from the............. word which means.............","Latin, small","Greek, Small","English, tiny","Roman, small",2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following issue relates to microeconomics,Impact of crude price hike on inflation,Impact of change in bank rate on bank savings and investment,Impact of Information technology on economic growth,Impact of shortage of wheat production on wheat prices,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics models are,Based on some realistic assumptions,Based on hypothetical assumptions,Scientifically tested,Based on necessity,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who condemned economic Wealth theory as ""Pig science'",Carlyle,Bailey,Ruskin,JB Say,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who condemned economic Wealth theory as ""a mean, degrading, sordid enquiry""",Carlyle,Bailey,Ruskin,JB say,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who condemned economic wealth theory as ""an entirely damned state of soul""",Carlyle,Bailey,Ruskin,JB say,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who defined economic as ""study of laws which governs wealth"" .,",Carlyle,Bailey,Ruskin,JB Say,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who defined economic as 'economics is that part of knowledge which relates to wealth',Carlyle,Bailey,Ruskin,FA Walker,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"The famous book ""An enquiry into the nature and causes of wealth of Nation"" was written by-",Adam Smith,Keynes,Robertson,JB Say,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"The famous book ""An enquiry into the nature and causes of the wealth of Nations"" was published in-",1776,1750,1850,1886,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who described deductive method as a ""descending process""",Bacon,Schmoller,FA Walket il,Aukley,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Who described deductive method u, u ""Priori method""",Bacon,Schmoller,Mill,Aukley,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Diamond-Water paradox is associated with,Adam Smith,Marshall,Recardo,Lipsey,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"The cardinal (Neo classical) approach, means mesures utilities in terms of______",Utils,Satisfaction,Dollar Value,None,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who said 'Inductive are both needed for scientific thoughts as the right and left foots are needed for walking ',JB Say,Schmollet,FA Walker,Aukley,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"The book titled ""General Theory of Employment, Interest and Money"" relates to-",Robertson,JM Keynes,FA Walker,Aukley,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The law of diminishing marginal utility was formulated by -,"Hermann Heinrich Gossen""",Hicks,Philips,Lipsey,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The law of indifference is/are also known by-,Law of substitution,Law of equimarginal utility,Gossen's second law,All the three,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who regarded Robins definition of economics as 'at once too narrow and too wide',Robertson,Duglas,Philips,Marshall,1,2,Introduction to Micro Economic,Genearal Economics
