course_name,question_desc,option_a,option_b,option_c,option_d,correct_option,difficulty_level,chapter_name,subject_name,
CA CPT QT,"A man went to the Reserve Bank of India with Rs. 1,000. He asked the cashier to give him Rs. 5 and Rs. 10 notes only in return. The man got 175 notes in all. Find how many notes of Rs. 5 and Rs. 10 did he receive?","(25, 150)","(40, 110)","(150, 25)",None,3,2,Equations,Quatitative Aptitude,
CA CPT QT,"The centroid of the triangle ABC is at the point (2,3). A and B are the points (5,6) and ( - 1, 4) respectively. The coordinates of C are:","(1, - 2)","(2, - 1)","(1, 2)","(2, 3)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,A man rowing at the rate of 5 km in an hour in still water takes thrice as much time in going 40 km down. Find the rate at which the river flows:,9 km/hr,10 km/hr,12 km/hr,None,2,2,Equations,Quatitative Aptitude,
CA CPT QT,The value of <img>Equations1.1_image014_0000.png</img>,<img>Equations1.1_image016_0000.png</img>,<img>Equations1.1_image018_0000.png</img>,<img>Equations1.1_image020_0000.png</img>,None,1,2,Equations,Quatitative Aptitude,
CA CPT QT,If x<SUP><SMALL>3</SMALL></SUP>  6x<SUP><SMALL>2</SMALL></SUP> + 11x  6 = 0 then find the value of (3x  4).,"(1, 2, 3)","( - 1, 2, 5)","( - 1, 3, 5)","(2, 3, 5)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"If 2 +<img>Equations1.1_image046.png</img>, is a root of quadratic equation x<sup><small>2</small></sup> + p<sub><small>x</small></sub> + q = 0 then find the value of p and q.","(4, - 1)","(4, 1)","(- 4, 1)","(2, 3)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,"If area and perimeter of a rectangle is 6,000 cm<SUP><SMALL>2</SMALL></SUP> and 340 cm respectively, then the length of rectangle is:",140,120,170,200,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"A straight line passes through the point (3,2). Find the equation of the straight line.",x + y = 1,x + y = 3,x + y = 5,x + y = 2,3,2,Equations,Quatitative Aptitude,
CA CPT QT,One root of the equation: x<sup><small>2</small></sup>  2 (5 + m)x + 3(7 + m) = 0 is reciprocal of the other. Find the value of M., 7,7,1/7/2016, 1/7,1,2,Equations,Quatitative Aptitude,
CA CPT QT,A straight line of x = 15 is:,Parallel to Y axis,Parallel to X axis,A diagonal line,Passes through origin.,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"If the length of a rectangle is 5 cm more than the breadth and if the perimeter of the rectangle is 40 cm, then the length & breadth of the rectangle will be:","7.5 cm, 2.5 cm","10 cm, 5 cm","12.5 cm, 7.5 cm","15.5 cm, 10.5 cm",3,2,Equations,Quatitative Aptitude,
CA CPT QT,The point of intersection of the lines 2x  5y = 6 and x + y = 3 is,"(0, 3)","(3, 0)","(3, 3)","(0, 0)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"Find the equation of the line passing through the point (1, 1) and parallel to the line 3x + 5y + 17 = 0",3x + 5y + 8 = 0,5x + 3y + 8 = 0,5x + 3y  8 = 0,3x + 5y  8 = 0,4,2,Equations,Quatitative Aptitude,
CA CPT QT,The graph of straight line x = 5 will be:,Intersecting both the axis,Parallel to y  axis,Parallel to x  axis,None of these,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"Find the equation of the line joining the point (3,5) with the point of intersection 2x + 3y  5 = 0 and 3x + 5y  7 = 0.",6x + y + 23 = 0,6x + y  23 = 0,6x + 2y + 14 = 0,2x + 5y + 5 = 0,2,2,Equations,Quatitative Aptitude,
CA CPT QT,Roots of the equation 3x<sup><small>2</small></sup>  14x + k = 0 will be reciprocal of each other If:,k = - 3,k = 0,k = 3,k = 14.,3,2,Equations,Quatitative Aptitude,
CA CPT QT,The lines 3x + 4y + 10 = 0 and 4x  3y + 5 = 0 are -----------,Parallel,Perpendicular to each other,Bisect each other,Concide with each other,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"Positive value of 'k' for which the roots of equation 12x<SUP><SMALL>2</SMALL></SUP> + kx + 5 = 0 are in ratio 3:2, is",5/12/2016,12/5/2016,"<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equations1.1_image002_0002.png"">","<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equations1.1_image004_0002.png"">",4,2,Equations,Quatitative Aptitude,
CA CPT QT,"If one root of the equation x<sup><small>2</small></sup>  3x + k = 0 is 2, then value of k will be", 10,0,2,10,3,2,Equations,Quatitative Aptitude,
CA CPT QT,On the average an experienced person does 7 units of work while a fresh one work 5 units of work daily but the employer has to maintain an output of at least 35 units of work per day. The situation can be expressed as:,7x + 5y &lt; 35,7x + 5y;<= 35,7x + 5y &gt; 35,7x + 5y&nbsp;>= 35,4,2,Equations,Quatitative Aptitude,
CA CPT QT,"If the ratio of (5x  3y) and (5y  3x) is 3:4, then the value of x : y is",27 : 29,29 : 27,3 : 4,4 : 3,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"If roots of equation x<sup><small>2</small></sup> + x + r = 0 are <strong><span style=""line-height:115%; font-family:'Calibri','sans-serif'; font-size:12.0pt; "">&lsquo;</span><span style=""line-height:115%; font-family:Symbol; font-size:12.0pt; "">µ</span><span style=""font-family:'Calibri','sans-serif'; font-size:12.0pt; "">&rsquo; </span></strong> and <strong><span style=""line-height:115%; font-family:'Calibri','sans-serif'; font-size:12.0pt; "">&lsquo;</span><span style=""line-height:115%; font-family:Symbol; font-size:12.0pt; "">b</span><span style=""font-family:'Calibri','sans-serif'; font-size:12.0pt; "">&rsquo; </span></strong>and <strong><span style=""font-family:Symbol; font-size:12.0pt; "">µ</span></strong><sup><small>3</small></sup> + <strong><span style=""line-height:115%; font-family:Symbol; font-size:12.0pt; "">b</span></strong><sup><small>3</small></sup> = - 6. Find the value 'r'",-5/3,7/3/2016,-4/3,1,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"For all λ <SUP><SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 12pt"">Î </SPAN></SUP>R, the line (2 + ) y + 5 = 0 passing through a fixed point, then the fixed point is --------------","(1, 1)","(-1, - 1)","(1, - 1)","(-1, 1)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ d-1_image012.png""> ,<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ d-1_image014.png""> ,<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ d-1_image016.png"">","(120,60,30)","(60,30,120)","(30,120,60)","(30,60,120)",4,2,Equations,Quatitative Aptitude,
CA CPT QT,"2x + 3y + 4z = 0,x + 2y  5z = 0,10z + 16y  6z = 0","(0,0,0)","(1,-1,1)","(3,2,-1)","(1,0,2)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,"1/3 (x + y) + 2z = 21,3x  ½ (y + z) = 65,x+1/2 (x + y + z +)","(4,9,5)","(2,9,5)","(24,9,5)","(5,24,9)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,"<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ d-1_image026.png""> ,3xy = 10 (y-x)","(2,5)","(5,2)","(2,7)","(3,4)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,<img>Equ d-1_image028.png</img>,"(1,2)","(0.1,0.2)","(0.01,0.02)","(0.02,0.01)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,<img>Equ d-1_image036.png</img>,"(12,11,10)","(10,11,12)","(11,10,12)","(12,10,11)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"3x-4y+70z = 0,2x+3y-10z = 0,x+2y+3z = 13","(1,3,7)","(1,7,3)","(2,4,3)","(-10,10,1)",4,2,Equations,Quatitative Aptitude,
CA CPT QT,Monthly incomes of two persons are in the ratio 4 : 5 and their monthly expenses are in the ratio 7 : 9. If each saves Rs. 50 per month find their monthly incomes.,"(500, 400)","(400, 500)","(300, 600)","(350, 550)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"Find the fraction which is equal to 1/2 when both its numerator and denominator are increased by 2, It is equal to 3/4 when both are increased by 12.",3/8/2016,5/8/2016,3/8/2016,2/3/2016,1,2,Equations,Quatitative Aptitude,
CA CPT QT,A number between 10 and 100 is five times the sum of its digits. If 9 be added to it the digits are reversed find the number.,54,53,45,55,3,2,Equations,Quatitative Aptitude,
CA CPT QT,The wages of 8 men and 6 boys amount to Rs. 33. If 4 men earn Rs. 4.50 more than 5 boys determine the wages of each man and boy.,"(Rs 1.50, Rs 3)","(Rs 3, Rs 1.50)","(Rs 2.50, Rs 2)","(Rs 2, Rs 2.50)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,A number consisting of two digits is four times the sum of its digits and if 27 be added to it the digits are reversed. The number is,63,35,36,60,3,2,Equations,Quatitative Aptitude,
CA CPT QT,"Of two numbers, 1/5th of the greater is equal to 1/3rd of the smaller and their sum is sixteen. The numbers are:","(6, 10)","(9, 7)","(12, 4)","(11, 5)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,The equation -7x + 1 = 5-3x will be satisfied for x equal to?,2,-1,1,none of these,2,2,Equations,Quatitative Aptitude,
CA CPT QT,The root of the equation<img>Equ-1_image002.png </img> is,20,10,2,none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,Pick up the correct value of x for <img>Equ-1_image008.png</img>,x = 5,x = 7,<img>Equ-1_image010.png</img>,none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,The solution of the equation<img>Equ-1_image016.png</img>,6,10,16,none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,8 is the solution of the equation,<img>Equ-1_image022.png</img>,<img>Equ-1_image024.png</img>,<img>Equ-1_image026.png</img>,<img>Equ-1_image028.png</img>,2,2,Equations,Quatitative Aptitude,
CA CPT QT,The value of y that satisfies the equation <img>Equ-1_image034.png</img>,-1,7,1,-1/7,4,2,Equations,Quatitative Aptitude,
CA CPT QT,The solution of the equation (p+2) (p-3) + (p+3) (p-4) = p(2p-5) is,6,7,5,none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"The equation <IMG src=""C:\Documents and Settings\harshals\Desktop\Teacher application\AppImages\Equ-1_image042.png""> is true for",x=1,x=2,x=5,x=7,4,2,Equations,Quatitative Aptitude,
CA CPT QT,Pick up the correct value x for which <img>Equ-1_image048.png</img><br>,x=0,x=1,x=10,none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,The sum of two numbers is 52 and their difference is 2.The numbers are,17 and 15,12 and 10,27 and 25,none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,The diagonal of a rectangle is 5 cm and one of at sides is 4 cm.Its area is,20 sq.cm.,12 sq.cm.,10 sq.cm.,none of these,2,2,Equations,Quatitative Aptitude,
CA CPT QT,Divide 56 into two parts such that three times the first part exceeds one third of the second by 48.The parts are,"(20,36)","(25,31)","(24,32)",none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,The sum of the digits of a two digit number is 10.If 18 be subtracted from it the digits in the resulting number will be equal.The number is,37,73,75,none of these numbers,2,2,Equations,Quatitative Aptitude,
CA CPT QT,The fourth part of a number exceeds the sixth part by 4.The number is,84,44,48,none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,Ten years ago the age of a father was four times of his son.Ten years hence the age of the father will be twice that of his son.The present ages of the father and the son are,"(50,20)","(60,20)","(55,25)",none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,The product of two numbers is 3200 and the quotient when the larger number is dividend by the smaller is 2.The numbers are,"-16,200","(160,20)","(60,30)","(80,40)",4,2,Equations,Quatitative Aptitude,
CA CPT QT,The denominator of a fraction exceeds the numerator by 2.If 5 is added to the numerator the fraction increases by unity.The fraction is,5/7/2016,1/3/2016,7/9/2016,3/5/2016,4,2,Equations,Quatitative Aptitude,
CA CPT QT,"Three persons Mr.Roy,Mr.Paul and Mr.Singh together have Rs.51.Mr.Paul has Rs.4 less than Mr.Roy and Mr.Singh as got Rs.5 less than Mr.Roy.They have the money as","(Rs.20,Rs.16,Rs.15)","(Rs.15,Rs.20,Rs.16)","(Rs.25,Rs.11,Rs.15)",none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,A number consists of two digits.The digits in the ten's place is 3 times the digit in the unit's place.If 54 is subtracted from the number the digits are reversed.The number is,30,92,93,94,3,2,Equations,Quatitative Aptitude,
CA CPT QT,One student is asked to divide a half of a number by 6 and other half by 4 and then to add the two quantities.Instead of doing so the student divides the given number by 5.If the answer is 4 short of the correct answer then the number was,320,400,480,none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,If a number of which the half is greater than 1/5th of the number by 15 then the number is,50,40,80,none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"The solution of the set of equations 3x + 4y = 7, 4x  y = 3 is","(1, -1)","(1, 1)","(2, 1)","(1, -2)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"The values of x and y satisfying the equations<img>Equ C-1_image002.png</img> , x + 2y = 8 are given by the pair","(3, 2)","(-2, 3)","(2, 3)",none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,"<IMG src=""C:\Documents and Settings\harshals\Desktop\Teacher application\AppImages\Equ C-1_image008.png"">, x + y = p + q are satisfied by the values given by the pair","(x=p, y=q)","(x=q, y=p)","(x=1, y=1)",none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,The solution for the pair of equations <img>Equ C-1_image012.png</img> is given by,<img>Equ C-1_image014.png</img>,<img>Equ C-1_image016.png</img>,(3 4),(4 3),1,2,Equations,Quatitative Aptitude,
CA CPT QT,"Solve for x and y : <IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ C-1_image032.png""> and 3xy = 10 (y-x)","(5, 2)","(-2, -5)","(2, -5)","(2, 5)",4,2,Equations,Quatitative Aptitude,
CA CPT QT,"The pair satisfying the equations x + 5y = 36, <img>Equ C-1_image042.png</img> is given by","(16, 4)","(4, 16)","(4, 8)",none of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"Solve for x and y : x-3y = 0, x+2y = 20","x=4, y=12","x=12, y=4","x=5, y=4",none of these,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"The simultaneousequations 7x-3y = 31, 9x-5y = 41 have solutions given by","(-4, -1)","(-1, 4)","(4, -1)","(3, 7)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,"1.5x + 2.4 y = 1.8, 2.5(x+1) = 7y have solutions as","(0.5, 0.4)","(0.4, 0.5)",<img>Equ C-1_image044.png</img>,"(2, 5)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"The values of x and y satisfying the equations <img>Equ C-1_image046.png</img> , <img>Equ C-1_image048.png</img> are given by","(1, 2)","(-1, -2)","(1, 1/2)","(2, 1)",4,2,Equations,Quatitative Aptitude,
CA CPT QT,"1.5x + 3.6y = 2.1,2.5 (x+1) = 6y","(0.2,0.5)","(0.5,0.2)","(2,5)","(-2,-5)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,<img>Equ d-1_image002.png</img>,"(6,9)","(9,6)","(60,90)","(90,60)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,"<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ d-1_image008.png"">&nbsp;, 7x + 8y + 5z = 62","(4,3,2)","(2,3,4)","(3,4,2)","(4,2,3)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,Y is older than x by 7 years 15 years back X's age was 3/4 of Y's age. Their present ages are:,"(X=36, Y=43)","(X=50, Y=43)","(X=43, Y=50)","(X=40, Y=47)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,The sum of the digits in a three digit number is 12. If the digits are reserved the number is increased by 495 but reversing only of the ten's and unit digits in creases the number by 36. The number is,327,372,237,273,3,2,Equations,Quatitative Aptitude,
CA CPT QT,Two numbers are such that twice the greater number exceeds twice the smaller one by 18 and 1/3 of the smaller and 1/5 of the greater number are together 21. The numbers are :,"(36, 45)","(45, 36)","(50, 41)","(55, 46)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,"The demand and supply equations for a certain commodity are 4q 7p = 17 and p = <img>Equ E-1_image012.png</img> , respectively where p is the market price and q is the quantity then the equilibrium price and quantity are :",<img>Equ E-1_image014.png</img>,<img>Equ E-1_image016.png</img>,<img>Equ E-1_image018.png</img>,None of these,1,2,Equations,Quatitative Aptitude,
CA CPT QT,If the roots of the equation 2x<sup><small>2</small></sup> + 8x m<sup><small>3</small></sup> = 0 are equal then value of m is,-3,-1,1,-2,4,2,Equations,Quatitative Aptitude,
CA CPT QT,If 2<sup><small>2x+3</small></sup> - 3<sup><small>2</small></sup> .2<sup><small>x</small></sup> + 1 = 0 the values of x are,"0, 1",1/2/2016,"0, 3","0, -3",4,2,Equations,Quatitative Aptitude,
CA CPT QT,The values of <img>Equ F-1_image002.png</img>,<img>Equ F-1_image004.png</img>,<img>Equ F-1_image006.png</img>,<img>Equ F-1_image008.png</img>,none of these,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"If <SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">a</SPAN><SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">b </SPAN>be the roots of the equation 2x<SUP><SMALL>2</SMALL></SUP>  4x  3 = 0, the value of α<SUP>2</SUP>+ <EM><SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">b</SPAN><SUP><SMALL>2</SMALL></SUP>is </EM>",5,7,3,-4,2,2,Equations,Quatitative Aptitude,
CA CPT QT,If the sum of the roots of the quadratic equation ax<sup><small>2</small></sup> + bx + c = 0 is equal to the sum of the squares of their reciprocals then <img>Equ F-1_image032.png</img> is equal to,2,-2,1,-1,1,2,Equations,Quatitative Aptitude,
CA CPT QT,The equation x<SUP><SMALL>2</SMALL></SUP>  (p+4)x + 2p + 5 = 0 has equal roots the values of p will be,±1,2,±2,-2,3,2,Equations,Quatitative Aptitude,
CA CPT QT,The roots of the equation x<sup><small>2</small></sup> + (2p-1)x + p<sup><small>2</small></sup> = 0 are real if,"p <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">³</span> 1","p <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">£</span> 4","p <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">³</span> 1/4","p <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">£</span> 1/4",4,2,Equations,Quatitative Aptitude,
CA CPT QT,If x = m is one of the solutions of the equation 2x<sup><small>2</small></sup> + 5x  m = 0 the possible values of m are,"(0, 2)","(0, -2)","(0, 1)","(1, -1)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,If p and q are the roots of x<sup><small>2</small></sup> + 2x + 1 = 0 then the values of p<sup><small>3</small></sup> + q<sup><small>3</small></sup> becomes,2,-2,4,-4,1,2,Equations,Quatitative Aptitude,
CA CPT QT,If L + M + N = 0 and L M N are rationalsthe roots of the equation (M+N-L) x<sup><small>2</small></sup> + (N+L-M)x + (L+M-N) = 0 are,real and irrational,real and rational,imaginary and equal,real and equal,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"If&nbsp;α and&nbsp;β are the roots of x<SUP><SMALL>2</SMALL></SUP> = x + 1 then value of <IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ F-1_image056.png""> is","<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ F-1_image058.png"">","<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ F-1_image060.png"">","<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ F-1_image062.png"">","<IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ F-1_image064.png"">",4,2,Equations,Quatitative Aptitude,
CA CPT QT,"If p <SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">¹</SPAN> q and p<SUP><SMALL>2</SMALL></SUP> = 5p  3 and q<SUP><SMALL>2</SMALL></SUP> = 5q  3 the equation having roots as p/q and q/p is",x<SUP><SMALL>2</SMALL></SUP>  19x + 3 = 0,3x<SUP><SMALL>2</SMALL></SUP>  19x - 3 = 0,3x<SUP><SMALL>2</SMALL></SUP>  19x + 3 = 0,3x<SUP><SMALL>2</SMALL></SUP> + 19x + 3 = 0,3,2,Equations,Quatitative Aptitude,
CA CPT QT,If one rot of 5x<SUP><SMALL>2</SMALL></SUP> + 13x + p = 0 be reciprocal of the other then the value of p is,-5,5,1/5/2016,-0.2,2,2,Equations,Quatitative Aptitude,
CA CPT QT,A solution of the quadratic equation (a+b-2c)x<SUP><SMALL>2</SMALL></SUP> + (2a-b-c)x + (c+a-2b) = 0 is,x = 1,x = -1,x = 2,x = -2,2,2,Equations,Quatitative Aptitude,
CA CPT QT,If the root of the equation x<SUP><SMALL>2</SMALL></SUP>  8x + m = 0 exceeds the other by 4 then the value of m is,m = 10,m = 11,m = 9,m = 12,4,2,Equations,Quatitative Aptitude,
CA CPT QT,The values of x in the equation 7(x+2p)<sup><small>2</small></sup> + 5p<sup><small>2</small></sup> = 35xp + 117p<sup><small>2</small></sup> are,"(4p, -3p)","(4p, 3p)","(-4p, 3p)","(-4p, -3p)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,The solutions of the equation <img>Equ G-1_image006.png</img> are,"(2, 3)","(3, -2)","(-2, -3)","(2, -3)",4,2,Equations,Quatitative Aptitude,
CA CPT QT,The satisfying values of x for the equation <img>Equ G-1_image012.png</img> - are,"(p, q)","(-p, -q)","(p, -p)","(-p, q)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,The values of x for the equation x<sup><small>2</small></sup> + 9x + 18 = 6  4x are,"(1, 12)","(-1, -12)","(1, -12)","(-1, 12)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,The values of x satisfying the equation <img>Equ G-1_image020.png</img> are,"(2, -9/2)","(4, -9)","(2, 9/2)","(-2, 9/2)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,The solution of the equation 3x<sup><small>2</small></sup>  17x + 24 = 0 are,"(2, 3)","(2, 32/3)","(3, 22/3)","(3, 2/3)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,"The equation <IMG alt="""" src=""C:\Documents and Settings\harshals\Desktop\Debug\AppImages\Equ G-1_image036.png""> has got the solution as","(1, 1)","(1/2, -1)","(1, -1)","(2, -1)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,The equation <img>Equ G-1_image044.png</img> has got two values of x to satisfy the equation given as,<img>Equ G-1_image046.png</img>,<img>Equ G-1_image048.png</img>,<img>Equ G-1_image050.png</img>,<img>Equ G-1_image052.png</img>,1,2,Equations,Quatitative Aptitude,
CA CPT QT,The sum of two numbers is 8 and the sum of their squares is 34. Taking one number as x form an equation in x and hence find the numbers. The numbers are,"(7, 10)","(4, 4)","(3, 5)","(2, 6)",3,2,Equations,Quatitative Aptitude,
CA CPT QT,The difference of two positive integers is 3 and the sum of their squares is 89. Taking the smaller integer as x form a quadratic equation and solve it to find the integers. The integers are,"(7, 4)","(5, 8)","(3, 6)","(2, 5)",2,2,Equations,Quatitative Aptitude,
CA CPT QT,Five times of a positive whole number is 3 less than twice the square of the number. The number is,3,4,-3,2,1,2,Equations,Quatitative Aptitude,
CA CPT QT,The area of a rectangular field is 2000 sq.m and its perimeter is 180m. Form a quadratic equation by taking the length of the field as x and solve it to find the length and breadth of the field. The length and breadth are,"(205m, 80m)","(50m, 40m)","(60m, 50m)",none,2,2,Equations,Quatitative Aptitude,
CA CPT QT,Two squares have sides p cm and (p + 5) cms. The sum of their squares is 625 sq.cm. The sides of the squares are,"(10 cm, 30 cm)","(12 cm, 25 cm)","(15 cm, 20 cm)",none of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,Divide 50 into two parts such that the sum of their reciprocals is 1/12. The numbers are,"(24, 26)","(28, 22)","(27, 23)","(20, 30)",4,2,Equations,Quatitative Aptitude,
CA CPT QT,There are two consecutive numbers such that the difference of their reciprocals is 1/240. The numbers are,"(15, 16)","(17, 18)","(13, 14)","(12, 13)",1,2,Equations,Quatitative Aptitude,
CA CPT QT,The hypotenuse of a right-angled triangle is 20 cm. The difference between its other two sides be 4cm. The sides are,"(11cm, 15cm)","(12cm, 16cm)","(20cm, 24cm)",none of these,2,2,Equations,Quatitative Aptitude,
