course_name,question_desc,option_a,option_b,option_c,option_d,correct_option,difficulty_level,chapter_name,subject_name
CA CPT LAW,"Under Sec.2(4) of the Sale of Goods Act, a pucca delivery order enabling a person to obtain delivery on payment of price is -",Deemed as a Document of Title,Not a Document of Title,Document enabling title to Goods,Not a valid document at all,2,3,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,A Document of Title to Goods enables the person named therein to transfer the property therein -,by mere endorsement,by mere delivery,both a and b,either a or b,3,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,A Share Certificate is a -,Document of Title to Goods,Bill of Exchange,Document Showing Title to Goods,Instrument of Transfer,3,3,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,A Bill of Lading is a  ,Bill of Exchange,Promissory Note,Cheque,Document of Title to Goods,4,3,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,A Bill of Exchange is a Document of Title to Goods.,TRUE,Partly True,Conditionally True,FALSE,4,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,A Promissory Note is NOT a Document of Title to Goods.,TRUE,FALSE,Partly True,Conditionally True,1,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,A Mate's Receipt (given by the Servant / Mate of the Captain of a Ship) is a ,Document of Title to Goods,Document showing Title to Goods,Acknowledgement for receipt of Goods,Instrument of Transfer,3,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"In mercantile contracts, stipulations as to time of payment are ....... the essence of the contract.",deemed to be,not deemed to be,dilutive of,illustrative of,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Stipulations as to time are described in Section.....of the Sale of Goods Act,1930.",10,11,12,13,2,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Under Section 11 of the Sale of Goods Act, 1930, the time of payment can be of the essence of the contract",by agreement between the parties,by operation of law,both a and b,either a or b,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Where a party in whose favour the stipulations as to time in a contract of sale operates, waives the stipulations, then that party afterwards cannot treat the failure to comply with them by the other party, as giving right to rescind the contract.",TRUE,Partly True,FALSE,None of the above,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Whether or not any stipulation other than time of payment is of the essence of the contract depends upon -,application of Section 11,operation of law,terms of the contract,all of the above,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,A stipulation in a contract of sale with reference to the goods which are the subject matter thereof may be -,Condition,Warranty,Condition precedent,Either a or b,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Condition or Warranty in a contract of sale, constitute stipulation with reference to -",Time,Price,Goods,Delivery,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Under the Sale of Goods Act, a Condition is a stipulation essential for the ......... of the contract.",Collateral Purpose,Main purpose,Both a and b,Either a or b,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"A ""Warranty"", under the Sale of Goods Act, has been defined as a stipulation -",collateral to the main purpose of the contract,with regard to time,essential to the main purpose of the contract,all of the above,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Where, in a contract of sale, a condition has been inserted for the benefit of both the parties it cannot be waived. This statement is -",TRUE,Partly True,FALSE,None of the above,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"The breach of a ""condition"" in a contract of sale of goods, gives the right to -",repudiate the contract,claim for damages only,either a or b,both a and b,4,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Breach of a ""Warranty"" in goods, gives the right to ",reject the goods,claim for damages,repudiate the contract,all of the above,2,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,While determining whether a stipulation in a contract of sale is a condition or warranty -,the real effect of the stipulation is conclusive,the nomenclature used by the parties is conclusive,either a or b,both a and b,1,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Sec...... of the Sale of Goods Act, 1930 enumerates the circumstances under which breach of a condition can be treated as a breach of warranty.",11,12,13,14,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Waiver of a condition in a contract of sale, u/s 13 of the Sale of Goods Act, shall be deemed in caseswhere the default of the Buyer renders the performance of the condition impossible. This statement is -",TRUE,Partly True,FALSE,None of the above,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Section 13 of the Sale of Goods Act, deals with cases of -",voluntary waiver of condition,optional waiver of condition,compulsory waiver of condition,all of the above,4,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Under Section 13(2) of the Sale of Goods Act, the law presumes a waiver of condition where the Buyer has accepted the goods in part under a .............contract.",Divisible,Speculative,non-severable,wagering,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In which of the following situations, breach of a ""condition"" is to be treated as breach of ""warranty'?",Waiver of condition by Buyer,Acceptance of goods by Buyer in an indivisible contract,Impossibility of performance,All of the above,4,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Waiver of a condition in a contract of sale, u/s 13 of the Sale of Goods Act, is deemed in cases of -",legal impossibility,lack of consideration,lack of consensus-ad-idem,destruction of goods,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In cases where there is a breach of condition by the Seller, the Buyer -",may retain the goods though he has the right to reject them,has no right to retain the goods but only to reject the goods,has no right to reject the goods,has no remedy at all,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"If in a non-severable contract, the Buyer has accepted the goods or part thereof, the breach of acondition by the Seller can be considered -",as a breach of condition only,as a breach of warranty only,either a or b,not as a breach at all,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"If in a non-severable contract, the Buyer has accepted the goods or part thereof, the breach of acondition by the Seller, can be a ground for rejection of the goods and repudiation of the contract -",by operation of law,at the option of the Buyer,at the option of the Seller,only if there is an express or implied term in the contract to that effect,4,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Where under a contract of sale, the Buyer has retained the goods though there is a breach of condition on the part of the Seller, the Buyer -",does not lose the right to claim damages,loses the right to claim damages,has the obligation to return the goods in species,has the right to rescind the contract,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Sec. 14 of the Sale of Goods Act recognizes ............. as to right of the Seller to sell the goods.,Implied Warranty as to Title,Implied Condition as to Title,Implied Warranty as to Possession,Implied Condition as to Possession,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Where a person who bought a bike and used the same for some time but was forced to surrender the same to the true owner, owing to Seller's defect of title, is entitled to only damages.",TRUE,Partly True,FALSE,None of the above,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,The Buyer shall have and enjoy quiet possession of the goods. This is an .............u/s 14 of the Act.,Implied Warranty as to Title,Implied Condition as to Title,Implied Warranty as to Possession,Implied Condition as to Possession,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"When the Buyer's right of quiet possession of goods is affected by the Seller's fault, the former can -",reject the goods,claim for damages,repudiate the contract,all of the above,2,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"There is an implied warranty u/s 14, that the goods shall be free of any charge or encumbrance in favour of any third party............................... . before or at the time when the contract is made.",declared or known to the Seller,declared or known to the Buyer,not declared or known to the Seller,not declared or known to the Buyer,4,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Where the buyer has to discharge encumbrances, it amounts to ...........of freedom from encumbrances as provided u/s 14 of the Sale of Goods Act, 1930.",Breach of condition,Breach of warranty,Repudiation of Contract,Remission of Contract,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Mere existence of the encumbrances does not lead to breach of implied warranty of freedom from encumbrances u/s 14.,TRUE,Partly True,FALSE,None of the above,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In case of sale by description, there is an implied ...... that the goods shall correspond to description.",Warranty,Condition,Stipulation,Description,2,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In case of sale of goods by sample as well as by description, the bulk of the goods should correspond with ",the sample,the description w,either sample or description,both sample and description,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In case of sale of goods by description under Section 15 of the Sale of Goods Act, the implied condition is that the goods shall correspond with ",the sample,the description,either the sample or the description,both the sample and the description,2,1,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"N agreed to sell oil described as ""Refined Sesame Oil, warranted only equal to sample"". The goodsdelivered were equal to sample, but contained a mixture of Hemp Oil. What are the Buyer's rights?",reject the goods,claim for damages,reclaim the price paid,all of the above,2,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"If the goods are not in accordance with the description of goods as given in the contract, the Buyer is entitled to reject the goods irrespective of whether the property in goods has passed to the Buyer or not.",TRUE,Partly True,FALSE,None of the above,1,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"If the goods are not in accordance with the description of goods as given in the contract, the Buyer is not entitled to reject the goods even if the property in goods has passed to the Buyer.",TRUE,Partly True,FALSE,None of the above,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In a sale of goods by description, it is sufficient that the goods are -",fit for the purpose for which they were wanted though not in accordance to description,merchantable though not in accordance to description,"wholesome, even if they do not correspond to description",the same as that of their description,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In a contract of sale, ordinarily there is ........ as to the quality or fitness for any purpose of goods.",an implied warranty or condition,an express warranty or condition,no implied warranty or condition,no express warranty or condition,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Section .... of the Sale of Goods Act, provides for implied condition as to quality or fitness.",Section 14,Section 15,Section 16,Section 17,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Which of the following is not required for invoking the implied condition as to quality or fitness?,"Buyer discloses to the Seller, the exact purpose for which goods are required",Buyer indicates to the Seller that he relies on the Seller's skill or judgment,Seller's business is to sell goods of such description,Buyer reserves the right to examine the goods and check its quality,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Implied condition as to quality or fitness does not apply if -,"Buyer discloses to the Seller, the exact purpose for which goods are required",Buyer indicates to the Seller that he relies on the Seller's skill or judgment,Seller's business is to sell goods of such description,Buyer reserves the right to examine the goods and check its quality,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Implied condition as to quality or fitness becomes applicable if -,Goods are sold under their patent or trade name,Buyer indicates to the Seller that he relies on the Seller's skill or judgment,Buyer reserves the right to examine the goods and check its quality,Goods are capable of multiple uses and Buyer does not indicate his specific purpose of use,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"For availing the benefit of the exception given u/s 16 of the Sale of Goods Act, the Buyer must make known to the Seller the particular purpose for which the goods are wanted -",expressly,by implication,either expressly or by implication,both expressly and by implication,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"An implied condition as to fitness of goods for a particular purpose provided u/s 16,........ where the buyer relies on his own judgment.",is applicable,is not applicable,is presumed,exists,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Implied condition as to quality or fitness becomes applicable if -,"Buyer discloses to the Seller, the exact purpose for which goods are required",Buyer suffers from an abnormality and does not communicate this fact to the Seller,Seller's business is to sell specific goods under a patent or trade name,Buyer reserves the right to examine the goods and check its quality,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,M purchased a hot water bottle from a Chemist. The bottle burst and injured his wife. The Chemist is liable on account of -,breach of express condition as to quality,breach of implied condition as to quality,personal injury caused to the Buyer's wife,hot water bottle sales are illegal,2,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"M purchased ""Karlos Brand"" Hot Water Bottle from a Chemist. The bottle burst and injured his wife. Is the Chemist liable?","Yes, for breach of express condition as to quality","Yes, for breach of implied condition as to quality","No, since specific goods are sold under a patent/trade name","Yes, since hot water bottle sales are illegal",3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"The implied condition as to quality or fitness ............., where the Buyer contracts for a specified article under its patent or other trade name not relying on the skill and judgment of the Seller.",is applicable,is not applicable,is presumed,exists,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"An implied condition as to fitness of goods for a particular purpose, applies where the buyer relies on the judgment of the manufacturer or dealer irrespective of whether he places reliance on anything else or not.",TRUE,Partly True,FALSE,None of the above,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Implied condition as to merchantable quality, applies to sale of goods -",under a patent or other trade name,by description only,either a or b,both a and b,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Where goods are brought by description from a seller who deals in goods of that description (whether he is the manufacturer or producer or not), there is an implied condition that the goods shall be of ........",decent quality,reasonable quality,tradeable quality,merchantable quality,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"The implied condition that the goods are of merchantable quality, ...... where the buyer has actually examined the goods.",is applicable,is not applicable,is presumed,exists,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Implied condition that the goods are of merchantable quality, is lost where the buyer has actuallyexamined the goods. This is applicable in respect of",patent defects (those which such examination ought to have revealed),latent defects (those which cannot be identified on mere examination of goods),defects which arise subsequent to delivery of goods,defects which are pointed out by a Third Party,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,An implied warranty or condition as to quality or fitness for a particular purpose cannot be annexedby usage of trade. This statement is -,TRUE,Partly True,FALSE,None of the above,3,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,An implied warranty or condition as to quality or fitness for a particular purpose may be annexed bythe usage of trade.,TRUE,Partly True,FALSE,None of the above,1,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,An express warranty or condition does not negative a warranty or condition implied by this Act unless inconsistent therewith. This statement is -,TRUE,Partly True,FALSE,None of the above,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Section 17 of the Sale of Goods Act, provides for implied conditions in a contract of sale of goods by -",Sample,Description,Sample as well as description,Auction,1,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,A contract of sale is a contract for Sale by Sample ,By Operation of Law,By way of Custom or Usage of Trade,"By way of an express or implied term in the contract, to that effect",By decision of the Seller,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In case of sale of goods by sample, there is .... that the goods shall correspond with the sample in quality.",an implied warranty,no implied warranty,an implied condition,no implied condition,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In case of sale of goods by sample, there is an implied condition that.... shall correspond with thesample.",some of the goods,bulk of the goods,most of the goods,all of the goods,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Which of the following is not an implied condition in case of sale by sample?,Bulk of goods should correspond with sample in quality,Buyer should be given reasonable opportunity of inspection,Goods should be free from latent defects making them un-merchantable,Goods should be fit for the quality or purpose stated by the Buyer,4,3,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"The Principle of ""Caveat Emptor"" is found, in the Sale of Goods Act, under Section....",15,16,17,18,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"The principle of ""Caveat Emptor'' as found in Sec.16 of the Sale of Goods Act, means that the -",Buyer must take care,Buyer must take a chance,Seller must take care,Seller must take a chance,1,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"The general rule is that the Buyer of goods must keep his eyes open, his mind active, and be cautiouswhile buying the goods. This doctrine is called -",Ignorantia juris non excusat,Nemo dat quad non habet,Quid Pro Quo,Caveat Emptor,4,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"In which of the following situations ""Caveat Emptor"" is applicable -",Seller makes a misrepresentation and Buyer relies on it,"Seller makes a false representation amounting to fraud, the buyer believes the same",Seller provides reasonable opportunity to the Buyer to examine the goods,Seller actively conceals a defect in the goods,3,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,Hari bought a Colour TV from Arun. The TV set was defective right from the beginning and it did notwork inspite of repairs by expert mechanics. What are Hari's rights?,Sue the Brand Name holder of TV Set,Return the TV Set and claim refund from Arun,Sue the Expert Mechanics for faulty repair work,Hari has no rights at all,2,2,SOGA 1930- CONDITIONS AND WARRANTIES,Mercentile Law
CA CPT LAW,"Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with -","Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with -","Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with -","Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with -","Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with - Chapter III of the Sale of Goods Act, deals with -",1,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"Chapter III of the Sale of Goods Act, deals with -",Rights of an Unpaid Seller,Conditions and Warranties,Performance of the contract of sale of goods,Effects of the contract of sale of goods,4,3,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"Section .... of the Sale of Goods Act, 1930 provides for passing of property in a sale of unascertained goods.",15,16,17,18,4,3,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"In case of .............goods, property passes to the Buyer, only when the goods are ascertained.",Future,Specific,Contingent,Unascertained,4,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"Where there is a contract for the sale of ......... goods, no property in the goods is transferred to the Buyer, unless and until the goods are ascertained.",Future,Unascertained,Contingent,Specific,2,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"For transfer of property in unascertained goods, the basic condition is that -",Goods must be ascertained and appropriated,Goods must be defined by description,Buyer must receive a sample of the goods,Seller must have produced/purchased the goods,1,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"The property, in case of sale of unascertained goods, passes when ",Pucca Delivery Order is entered,Goods are identified and appropriated to the contract,Goods are so far ascertained that the parties have agreed that they shall be taken from some specific larger stock,Transfer is made in the books of the warehouse-man,2,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"In case of sale of unascertained goods, the property in goods passes -",when the contract provides that the property in goods shall pass,when the goods are ascertained,when the contract is made,all of the above,2,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"There was a contract to supply ""waste coal and ash for the next six months, as and when the waste is generated by the Seller's Factory"". The Buyer paid the lumpsum price for the next six months in advance. When does the property in the goods pass to the Buyer?",After the lapse of six months period,At the time of entering into the contract,At the time of paying advance money,As and when the Factory discharges the waste,4,3,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,The process of identifying the goods and setting apart as per the intended quality or description is called -,Identification,Procurement,Ascertainment,Allocation,3,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"Section 19 of the Sale of Goods Act, deals with passing of property of ......... goods.",Unascertained Goods,Future Goods,Specific or Ascertained Goods,Contingent Goods,3,3,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"In a sale of specific or ascertained goods, the property therein is transferred to the Buyer -",upon delivery of goods,upon payment of price,at such time as the parties intend it to be transferred,at such time as decided by the Court,3,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"The property in goods in a contract for sale of specific or ascertained goods, passes to the Buyer -",when the price is paid,when the contract is made,when the parties intend the property in goods to pass,all of the above,3,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"In respect of ................ Goods, the property in the goods is transferred to the Buyer at such time as the parties intend it to be transferred.",Future,Unascertained,Contingent,Specific or Ascertained,4,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,Which of the following is relevant for determining the passing of property in ascertained goods?,Intention of Parties,Delivery of Goods,Payment of Price,All of the above,1,3,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"For passing of property in respect of specific or ascertained goods, the intension of the parties can be ascertained from -",Terms of the contract,Conduct of the parties,Circumstances of the case,All of the above,4,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"Section ....of the Sale of Goods Act, provides for passing of property in goods where there is an unconditional contract for the sale of specific goods in a deliverable state.",18,19,20,21,4,3,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
CA CPT LAW,"The rule as to passing of property as laid down in Section 20 of the Sale of Goods Act, shall apply when ",the time of payment of price is postponed,the time of delivery of the goods is postponed,even the time of payment of price and the time of delivery of the goods are both postponed,either the time of payment of price nor the time of delivery of the goods is postponed,3,2,SOGA 1930- TRANSFER OF PROPERTY AND RISK IN GOODS,Mercentile Law
